epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
25,,,1349,0.39792028069496155,,
25,,,1377,,0.4335421025753021,0.3085843026638031
,9.817549228764197e-05,9.817549228764197e-05,1399,,,
,9.817549228764197e-05,9.817549228764197e-05,1399,,,
,9.817549228764197e-05,9.817549228764197e-05,1399,,,
,9.817549228764197e-05,9.817549228764197e-05,1399,,,
,9.817549228764197e-05,9.817549228764197e-05,1399,,,
,9.817549228764197e-05,9.817549228764197e-05,1399,,,
